Address,Square ft,Sale Date,Price,Beds,Baths
"1604 Mimosa Ave, Charlotte, NC 28205","1,162",Sold 05/18/2023,"$375,000",3,1
"1918 Thomas Ave, Charlotte, NC 28205","2,002",Sold 05/16/2023,"$805,000",3,3
"1429 Pecan Ave APT 4, Charlotte, NC 28205","1,349",Sold 05/15/2023,"$557,000",3,3
"2015 Hamorton Pl, Charlotte, NC 28205","1,813",Sold 05/15/2023,"$570,000",3,3
"2020 Hamorton Pl, Charlotte, NC 28205","1,940",Sold 05/10/2023,"$933,000",4,2
"1320 Thomas Ave, Charlotte, NC 28205","1,510",Sold 05/08/2023,"$525,000",2,1
"1915 Chatham Ave, Charlotte, NC 28205","2,206",Sold 05/08/2023,$1.32M,4,3
"1510 Hawthorne Ln, Charlotte, NC 28205","2,760",Sold 05/05/2023,"$650,000",3,3
"1727 The Plz, Charlotte, NC 28205","2,172",Sold 05/02/2023,"$827,000",3,2
"1508 School St, Charlotte, NC 28205","1,868",Sold 05/01/2023,"$890,000",3,2
"1621 Tippah Ave, Charlotte, NC 28205","2,820",Sold 05/01/2023,$1.13M,4,4
"1600 Fulton Ave SUITE 206, Charlotte, NC 28205",886,Sold 05/01/2023,"$279,000",1,1
"1636 Morningside Dr, Charlotte, NC 28205","2,680",Sold 04/26/2023,"$890,100",3,2
"2225 The Plz, Charlotte, NC 28205","1,386",Sold 04/25/2023,"$400,000",3,2
"2311 Club Rd, Charlotte, NC 28205","2,329",Sold 04/21/2023,"$935,000",4,3
"1815 Club Rd, Charlotte, NC 28205","1,264",Sold 04/18/2023,"$450,000",3,1
"2205 Chatham Ave, Charlotte, NC 28205","2,862",Sold 04/14/2023,$1.30M,4,3
"1816 Mecklenburg Ave, Charlotte, NC 28205","3,094",Sold 04/13/2023,$1.07M,5,3
"1821 Kensington Dr, Charlotte, NC 28205","1,058",Sold 04/03/2023,"$325,000",2,1
"1836 The Plz, Charlotte, NC 28205","2,816",Sold 03/28/2023,$1.30M,5,5
"1611 Central Ave UNIT 205, Charlotte, NC 28205",656,Sold 03/27/2023,"$240,000",1,1
"2001 Chatham Ave, Charlotte, NC 28205","1,653",Sold 03/21/2023,"$800,000",3,2
"1700 Hawthorne Ln, Charlotte, NC 28205","4,041",Sold 03/09/2023,$1.44M,5,4
"1420 Thomas Ave, Charlotte, NC 28205","1,557",Sold 03/03/2023,"$775,000",3,2
"1911 Kenwood Ave, Charlotte, NC 28205","1,633",Sold 02/24/2023,"$650,000",3,2
"1733 Masonic Dr, Charlotte, NC 28205",982,Sold 02/23/2023,"$395,000",2,1
"1509 Landis Ave, Charlotte, NC 28205","2,667",Sold 01/17/2023,"$820,000",4,4
"1931 Dearmon Dr, Charlotte, NC 28205","1,732",Sold 01/13/2023,"$605,000",3,3
"2013 Kenwood Ave, Charlotte, NC 28205","2,330",Sold 01/12/2023,"$910,000",3,3
"1724 Fulton Ave, Charlotte, NC 28205",746,Sold 12/30/2022,"$360,000",2,1
"1601 Onslow Dr, Charlotte, NC 28205","1,022",Sold 12/20/2022,"$440,000",2,1
"1327 Thomas Ave, Charlotte, NC 28205","1,337",Sold 12/09/2022,"$527,500",3,2
"1924 Hall Ave, Charlotte, NC 28205","3,331",Sold 12/09/2022,$1.10M,5,4
"1804 Chestnut Ave, Charlotte, NC 28205","1,102",Sold 12/08/2022,"$425,000",2,2
"1600 Fulton Ave SUITE 202, Charlotte, NC 28205","1,043",Sold 12/07/2022,"$269,000",2,2
"1600 Fulton Ave SUITE 201, Charlotte, NC 28205","1,037",Sold 12/07/2022,"$269,000",2,2
"1204 Clement Ave, Charlotte, NC 28205","1,181",Sold 11/29/2022,"$528,650",2,2
"2309 Mecklenburg Ave, Charlotte, NC 28205","2,516",Sold 11/28/2022,"$980,000",4,3
"1811 Chestnut Ave, Charlotte, NC 28205","2,286",Sold 11/28/2022,"$390,000",2,2
"1509 Belvedere Ave, Charlotte, NC 28205","1,298",Sold 11/23/2022,"$412,000",3,2
"1923 Hall Ave, Charlotte, NC 28205","1,548",Sold 11/17/2022,"$610,000",3,3
"1922 Thurmond Pl, Charlotte, NC 28205","1,099",Sold 11/14/2022,"$425,000",2,1
"1801 Tippah Ave, Charlotte, NC 28205","1,572",Sold 11/08/2022,"$555,000",3,2
"2011 Hamorton Pl, Charlotte, NC 28205","1,816",Sold 11/01/2022,"$550,000",3,3
"1621 Chatham Ave, Charlotte, NC 28205","1,235",Sold 10/25/2022,$1.28M,3,1
"2005 Kenwood Ave, Charlotte, NC 28205","1,600",Sold 10/24/2022,"$825,000",3,2
"1623 Chatham Ave, Charlotte, NC 28205","3,308",Sold 10/24/2022,$1.28M,4,4
"1730 Thomas Ave, Charlotte, NC 28205","1,937",Sold 10/21/2022,"$838,625",3,2
"1628 Morningside Dr, Charlotte, NC 28205","2,218",Sold 10/18/2022,"$799,000",3,3
"1505 Belvedere Ave, Charlotte, NC 28205",964,On market May 26,"$250,000",2,1
"1625 Morningside Dr, Charlotte, NC 28205","1,976",Sold 10/14/2022,"$755,000",4,2
"1546 Tippah Park Ct, Charlotte, NC 28205","2,614",Sold 10/04/2022,"$795,000",4,4
"1416 Thomas Ave, Charlotte, NC 28205","1,526",Sold 10/03/2022,"$650,000",3,2
"1610 Thomas Ave, Charlotte, NC 28205","2,338",Sold 10/03/2022,"$805,000",3,2
"1834 Cochran Pl, Charlotte, NC 28205","1,052",Sold 10/03/2022,"$503,250",3,2
"2225 Chambwood Dr, Charlotte, NC 28205","1,784",Sold 09/30/2022,"$565,000",2,1
"1800 Truman Rd, Charlotte, NC 28205","3,650",Sold 09/29/2022,$1.30M,4,3
"1912 Truman Rd, Charlotte, NC 28205","3,228",Sold 09/28/2022,$1.18M,4,4
"1815 Logie Ave, Charlotte, NC 28205","1,100",Sold 09/26/2022,"$525,000",2,1
"1714 The Plz, Charlotte, NC 28205","1,203",Sold 09/23/2022,"$620,000",2,1
"2121 Winter St, Charlotte, NC 28205","1,081",Sold 09/22/2022,"$680,000",3,1
"1418 The Plz, Charlotte, NC 28205","1,496",Sold 09/16/2022,"$650,000",2,2
"1815 Truman Rd, Charlotte, NC 28205","1,453",Sold 09/16/2022,"$655,000",3,2
"1825 Cochran Pl, Charlotte, NC 28205",912,Sold 09/15/2022,$1.40M,2,1
"1805 Dearmon Dr, Charlotte, NC 28205","2,244",Sold 09/13/2022,"$810,000",3,2
"2731 Kilgo Way, Charlotte, NC 28205","1,859",Sold 09/12/2022,"$605,000",2,2
"1920 Hall Ave, Charlotte, NC 28205","3,311",Sold 09/12/2022,$1.13M,5,4
"2731 Kilgo Way #2, Charlotte, NC 28205","1,745",Sold 09/12/2022,"$605,000",3,3
