Address,Square ft,Sale Date,Price,Beds,Baths
"2125 Southend Dr APT 334, Charlotte, NC 28203",542,Sold 05/19/2023,"$265,000",1,1
"1001 Berkeley Ave, Charlotte, NC 28203","4,069",Sold 05/02/2023,$1.80M,6,5
"1315 East Blvd UNIT 532, Charlotte, NC 28203",808,Sold 05/01/2023,"$299,900",1,1
"1315 East Blvd UNIT 312, Charlotte, NC 28203",672,Sold 05/01/2023,"$295,900",1,1
"1315 East Blvd UNIT 307, Charlotte, NC 28203","1,080",Sold 05/01/2023,"$420,225",2,2
"922 E Park Ave, Charlotte, NC 28203","5,526",Sold 05/01/2023,$3.20M,5,5
"301 E Tremont Ave APT 216, Charlotte, NC 28203","1,300",Sold 05/01/2023,"$500,000",2,2
"301 E Tremont Ave E #216, Charlotte, NC 28203","1,259",Sold 05/01/2023,"$500,000",2,2
"812 McDonald Ave, Charlotte, NC 28203","2,852",Sold 04/28/2023,$1.30M,4,4
"1641 Dilworth Rd W, Charlotte, NC 28203","6,426",Sold 04/28/2023,$3.00M,5,6
"1315 East Blvd UNIT 418, Charlotte, NC 28203",667,Sold 04/28/2023,"$290,000",1,1
"1918 Ewing Ave, Charlotte, NC 28203","3,296",Sold 04/17/2023,$1.95M,4,4
"645 Ideal Way, Charlotte, NC 28203","3,231",Sold 04/11/2023,"$975,000",5,4
"504 E Kingston Ave, Charlotte, NC 28203","3,075",Sold 04/06/2023,$1.50M,4,3
"614 McDonald Ave, Charlotte, NC 28203","2,772",Sold 04/03/2023,$1.40M,4,3
"2033 Dilworth Road West 3, Charlotte, NC 28203",900,Sold 03/30/2023,"$282,000",1,1
"2033 Dilworth Rd W APT 3, Charlotte, NC 28203",755,Sold 03/30/2023,"$282,500",1,1
"1815 Dilworth Rd E, Charlotte, NC 28203","2,749",Sold 03/17/2023,$1.12M,3,3
"1315 East Blvd UNIT 318, Charlotte, NC 28203",669,Sold 03/16/2023,"$275,000",1,1
"743 Magnolia Ave #101, Charlotte, NC 28203","1,433",Sold 03/15/2023,"$500,000",3,3
"743 Magnolia Ave #101-C, Charlotte, NC 28203","1,436",Sold 03/15/2023,"$500,000",3,3
"612 Dorothy Dr, Charlotte, NC 28203","3,625",Sold 03/10/2023,$1.50M,5,4
"1829 Kenilworth Ave UNIT 310, Charlotte, NC 28203","1,060",Sold 02/28/2023,"$392,500",2,2
"1829 Kenilworth Ave UNIT 201B, Charlotte, NC 28203",955,Sold 02/28/2023,"$392,500",1,1
"1315 East Blvd UNIT 424, Charlotte, NC 28203",733,Sold 02/16/2023,"$293,000",1,1
"641 Dorothy Dr, Charlotte, NC 28203",955,Sold 02/10/2023,"$685,000",3,1
"520 McDonald Ave, Charlotte, NC 28203",899,Sold 02/07/2023,"$625,000",Studio,--
"415 Mather Green Ave APT D, Charlotte, NC 28203",696,Sold 02/03/2023,"$310,000",1,1
"700 Berkeley Ave, Charlotte, NC 28203","5,330",Sold 01/09/2023,$2.45M,5,4
"509 E Tremont Ave, Charlotte, NC 28203","1,626",Sold 01/06/2023,"$850,000",3,2
"2125 Southend Dr APT 408, Charlotte, NC 28203","1,383",Sold 12/21/2022,"$515,000",2,2
"1315 East Blvd UNIT 327, Charlotte, NC 28203",767,Sold 12/21/2022,"$291,000",1,1
"1938 Scott Ave, Charlotte, NC 28203","2,793",Sold 12/20/2022,"$875,000",4,4
"300 McDonald Ave, Charlotte, NC 28203","4,781",Sold 12/19/2022,$1.94M,5,5
"512 Olmsted Park Pl, Charlotte, NC 28203","1,660",Sold 12/19/2022,"$825,000",3,3
"527 E Kingston Ave, Charlotte, NC 28203","3,396",Sold 12/16/2022,$1.43M,4,3
"629 Ideal Way, Charlotte, NC 28203","4,082",Sold 12/15/2022,$1.53M,5,4
"1008 Mount Vernon Ave, Charlotte, NC 28203","2,904",Sold 12/15/2022,$1.66M,3,3
"705 E Tremont Ave, Charlotte, NC 28203","2,137",Sold 12/12/2022,$1.05M,3,3
"641 Ideal Way, Charlotte, NC 28203","4,423",Sold 12/09/2022,$1.65M,5,5
"2224 Springdale Ave, Charlotte, NC 28203","4,367",Sold 12/09/2022,$1.43M,5,4
"724 E Tremont Ave, Charlotte, NC 28203","3,179",Sold 12/05/2022,$1.08M,4,3
"657 Diana Dr, Charlotte, NC 28203","4,013",Sold 11/30/2022,$1.31M,5,4
"2201 Lyndhurst Ave, Charlotte, NC 28203","1,527",Sold 11/28/2022,"$715,000",3,3
"2336 Springdale Ave, Charlotte, NC 28203","5,422",Sold 11/22/2022,$1.10M,5,4
"623 Diana Dr, Charlotte, NC 28203",973,Sold 11/21/2022,"$675,000",3,1
"2008 Scott Ave, Charlotte, NC 28203","1,431",Sold 11/18/2022,"$670,000",3,2
"1330 Carlton Ave, Charlotte, NC 28203","4,950",Sold 11/17/2022,$1.45M,5,6
"608 E Tremont Ave, Charlotte, NC 28203","1,988",Sold 11/15/2022,"$930,000",4,2
"300 E Worthington Ave, Charlotte, NC 28203",--,Sold 11/15/2022,"$825,000",3,2
"527 Dilworth Mews Ct, Charlotte, NC 28203","2,922",Sold 11/14/2022,$1.01M,4,4
"527 Dilworth Mews Ct, Charlotte, NC 28203","2,698",Sold 11/14/2022,$1.01M,3,3.5
"1315 East Blvd UNIT 221, Charlotte, NC 28203",749,Sold 11/11/2022,"$292,000",1,1
"2046 Atherton Heights Ln, Charlotte, NC 28203","1,098",Sold 11/07/2022,"$370,000",2,2
"436 E Park Ave #A, Charlotte, NC 28203","1,287",Sold 11/03/2022,"$415,000",2,1.5
"317 E Tremont Ave APT 103, Charlotte, NC 28203","1,157",Sold 11/03/2022,"$575,000",2,3
"436 E Park Ave, Charlotte, NC 28203","1,442",Sold 11/03/2022,"$415,000",2,2
"1829 Kenilworth Ave UNIT 303, Charlotte, NC 28203",846,Sold 11/02/2022,"$330,000",1,1
"1315 East Blvd UNIT 315, Charlotte, NC 28203",795,Sold 10/31/2022,"$299,900",1,1
"1315 East Blvd UNIT 820, Charlotte, NC 28203","1,112",Sold 10/31/2022,"$400,000",2,2
"735 Magnolia Ave, Charlotte, NC 28203","1,690",Sold 10/29/2022,"$500,000",3,3
"910 E Worthington Ave, Charlotte, NC 28203","3,146",Sold 10/28/2022,$1.70M,4,4
