Address,Square ft,Sale Date,Price,Beds,Baths
"3105 Whiting Ave, Charlotte, NC 28205","2,242",Sold 12/16/2022,"$775,000",3,4
"2811 Whiting Ave, Charlotte, NC 28205","1,502",Sold 12/15/2022,"$575,500",3,3
"3123 N Davidson St SUITE 101, Charlotte, NC 28205",868,Sold 12/12/2022,$4.20M,--,--
"3123 N Davidson St SUITE 102, Charlotte, NC 28205",985,Sold 12/12/2022,$4.20M,--,--
"3123 N Davidson St SUITE 103, Charlotte, NC 28205","2,064",Sold 12/12/2022,$4.20M,--,--
"3123 N Davidson St SUITE 104, Charlotte, NC 28205","2,347",Sold 12/12/2022,$4.20M,--,--
"646 Raphael Pl, Charlotte, NC 28205",934,Sold 12/09/2022,"$337,500",2,2
"509 Patterson St, Charlotte, NC 28205","2,775",Sold 12/06/2022,"$785,000",4,3
"733 Herrin Ave, Charlotte, NC 28205","2,119",Sold 12/02/2022,"$643,500",3,3
"2144 Electric Ln, Charlotte, NC 28205",--,Sold 11/22/2022,"$224,000",--,--
"3630 N Davidson St #4406, Charlotte, NC 28205",742,Sold 11/18/2022,"$299,435",1,1
"456 E 33rd St, Charlotte, NC 28205","2,064",Sold 11/16/2022,"$662,500",3,3.5
"456 E 33rd St #22, Charlotte, NC 28205","2,164",Sold 11/16/2022,"$662,500",3,4
"1114 Leigh Ave, Charlotte, NC 28205",876,Sold 11/10/2022,"$360,000",2,1
"1500 Winston Dr, Charlotte, NC 28205",943,Sold 11/10/2022,"$375,000",3,1
"3279 Noda Blvd, Charlotte, NC 28205",652,Sold 11/10/2022,"$265,000",1,1
"516 E 35th St, Charlotte, NC 28205","7,376",Sold 11/10/2022,$3.90M,3,--
"3630 N Davidson St #2202, Charlotte, NC 28205","1,092",Sold 11/10/2022,"$438,865",2,2
"3217 Yadkin Ave, Charlotte, NC 28205","1,356",Sold 11/09/2022,$6.50M,3,1
"3937 Picasso Ct, Charlotte, NC 28205","1,065",Sold 11/08/2022,"$300,000",2,2
"501 E 37th St, Charlotte, NC 28205","1,198",Sold 11/04/2022,"$413,480",2,2
"501 E 37th St #A, Charlotte, NC 28205",717,Sold 11/03/2022,"$301,750",1,1
"3608 Oakwood Ave, Charlotte, NC 28205","2,172",Sold 10/31/2022,"$697,000",3,2
"2214 Electric Ln, Charlotte, NC 28205",--,Sold 10/31/2022,"$224,000",--,--
"2132 Electric Ln, Charlotte, NC 28205",--,Sold 10/28/2022,"$528,000",--,--
"2132 Electric Ln #LNO0734, Charlotte, NC 28205","1,583",Sold 10/28/2022,"$528,000",2,4
"2148 Electric Ln, Charlotte, NC 28205",--,Sold 10/27/2022,"$553,000",--,--
"2148 Electric Ln #LNO0730, Charlotte, NC 28205","1,691",Sold 10/27/2022,"$552,569",2,4
"2140 Electric Ln, Charlotte, NC 28205",--,Sold 10/26/2022,"$443,500",--,--
"2140 Electric Ln #LNO0732, Charlotte, NC 28205","1,345",Sold 10/26/2022,"$443,387",2,3
"3120 Clemson Ave, Charlotte, NC 28205","1,962",Sold 10/20/2022,"$715,000",4,3
"3116 N Davidson St SUITE 300, Charlotte, NC 28205",904,Sold 10/20/2022,"$295,000",Studio,1
"3109 N McDowell St, Charlotte, NC 28205","2,542",Sold 10/17/2022,$1.04M,4,4
"851 Woodside Ave, Charlotte, NC 28205","3,224",Sold 10/14/2022,$1.25M,5,4
"3535 Warp St, Charlotte, NC 28205","1,340",Sold 10/14/2022,"$370,000",2,3
"3265 Noda Blvd, Charlotte, NC 28205",606,Sold 10/12/2022,"$237,500",1,1
"911 Warren Burgess Ln, Charlotte, NC 28205","1,254",Sold 10/11/2022,"$375,000",2,3
"3422 Chagall Ct, Charlotte, NC 28205","1,361",Sold 10/03/2022,"$395,000",2,3
"2210 Electric Ln, Charlotte, NC 28205",--,Sold 10/03/2022,"$224,000",--,--
"1036 E 36th St, Charlotte, NC 28205",840,Sold 09/29/2022,"$290,000",1,1
"501 E 37th St #G, Charlotte, NC 28205","1,099",Sold 09/29/2022,"$445,000",2,2
"501 E 37th St #D, Charlotte, NC 28205","1,237",Sold 09/27/2022,"$420,840",2,2
"946 Warren Burgess Ln, Charlotte, NC 28205","1,776",Sold 09/26/2022,"$425,000",3,3
"3113 Whiting Ave, Charlotte, NC 28205","2,232",Sold 09/23/2022,"$800,000",3,4
"2225 Electric Ln, Charlotte, NC 28205",--,Sold 09/21/2022,"$224,000",--,--
"2209 Electric Ln, Charlotte, NC 28205",--,Sold 09/20/2022,"$224,000",--,--
"1029 Charles Ave, Charlotte, NC 28205","1,698",Sold 09/15/2022,"$590,000",3,2
"3642 Card St, Charlotte, NC 28205",974,Sold 09/15/2022,"$315,000",2,2
"934 Herrin Ave, Charlotte, NC 28205","1,134",Sold 09/12/2022,"$425,000",2,2
"3271 Noda Blvd, Charlotte, NC 28205",634,Sold 09/09/2022,"$230,000",1,1
"517 Steel Gardens Blvd, Charlotte, NC 28205","1,524",Sold 09/08/2022,"$445,000",2,3
"3427 Steel Yard Ct, Charlotte, NC 28205","1,686",Sold 09/07/2022,"$435,000",3,3
"3451 Steel Yard Ct, Charlotte, NC 28205","1,787",Sold 09/01/2022,"$437,500",3,2.5
"907 Warren Burgess Ln, Charlotte, NC 28205","1,320",Sold 09/01/2022,"$365,000",2,3
"3451 Steel Yard Ct #1, Charlotte, NC 28205","1,704",Sold 09/01/2022,"$437,500",3,3
"1021 Leigh Ave, Charlotte, NC 28205","1,114",Sold 08/31/2022,"$415,000",3,1
"908 Leigh Ave, Charlotte, NC 28205","2,846",Sold 08/31/2022,"$972,877",5,3
"4217 Spencer Towns Ln, Charlotte, NC 28205","2,083",Sold 08/31/2022,"$615,000",3,3.5
"2226 Electric Ln, Charlotte, NC 28205",--,Sold 08/31/2022,"$550,000",--,--
"2222 Electric Ln, Charlotte, NC 28205",--,Sold 08/31/2022,"$526,000",--,--
"2222 Electric Ln #LNO1046, Charlotte, NC 28205","1,567",Sold 08/31/2022,"$526,000",2,4
"2226 Electric Ln #LNO1047, Charlotte, NC 28205","1,583",Sold 08/31/2022,"$550,000",2,3
"3247 Noda Blvd, Charlotte, NC 28205",664,Sold 08/30/2022,"$245,000",1,1
"2218 Electric Ln, Charlotte, NC 28205","1,329",Sold 08/30/2022,"$468,000",2,3
"2206 Electric Ln, Charlotte, NC 28205",--,Sold 08/30/2022,"$546,000",--,--
"2206 Electric Ln #LNO1042, Charlotte, NC 28205","1,691",Sold 08/30/2022,"$545,727",2,4
"2218 Electric Ln #LNO1045, Charlotte, NC 28205","1,345",Sold 08/30/2022,"$467,585",2,3
"3438 Chagall Ct, Charlotte, NC 28205","1,354",Sold 08/26/2022,"$415,000",2,3
"3630 N Davidson St #2205, Charlotte, NC 28205",750,Sold 08/25/2022,"$340,000",1,1
"1121 E 35th St, Charlotte, NC 28205","1,328",Sold 08/19/2022,"$500,000",3,1
"2205 Electric Ln, Charlotte, NC 28205",--,Sold 08/19/2022,"$642,000",--,--
"2213 Electric Ln #LNO0939, Charlotte, NC 28205","1,583",Sold 08/19/2022,"$505,000",2,3
"2205 Electric Ln #LNO0941, Charlotte, NC 28205","2,339",Sold 08/19/2022,"$641,730",3,5
"1440 Winston Dr, Charlotte, NC 28205","1,671",Sold 08/18/2022,"$595,000",3,2
"2217 Electric Ln, Charlotte, NC 28205",--,Sold 08/18/2022,"$630,000",--,--
"613 Raphael Pl, Charlotte, NC 28205","1,010",Sold 08/15/2022,"$315,000",2,2
"2834 Clemson Ave, Charlotte, NC 28205","2,561",Sold 08/12/2022,"$699,000",4,3
"524 Donatello Ave, Charlotte, NC 28205","1,314",Sold 08/12/2022,"$390,000",2,3
"3497 Chagall Ct, Charlotte, NC 28205",986,Sold 08/08/2022,"$293,000",1,1
"1207 E 36th St #4, Charlotte, NC 28205","2,382",Sold 08/08/2022,"$615,000",3,3
"3600 The Plz, Charlotte, NC 28205","1,722",Sold 08/04/2022,"$495,000",3,3
"3811 Picasso Ct, Charlotte, NC 28205",940,Sold 08/01/2022,"$315,000",2,2
"2139 Electric Ln, Charlotte, NC 28205",--,Sold 07/29/2022,"$224,000",--,--
"2915 Wesley Ave, Charlotte, NC 28205","1,381",Sold 07/28/2022,"$474,500",2,2
"917 E 36th St, Charlotte, NC 28205","2,087",Sold 07/26/2022,"$592,000",3,4
"1001 E 36th St, Charlotte, NC 28205","1,691",Sold 07/22/2022,"$586,000",2,3
"1001 E 36th St #LNO0205, Charlotte, NC 28205","1,691",Sold 07/22/2022,"$586,000",2,3
"3630 N Davidson St #3303, Charlotte, NC 28205","1,138",Sold 07/18/2022,"$473,370",2,2
"3630 N Davidson St #4411, Charlotte, NC 28205",762,Sold 07/18/2022,"$313,810",1,1
"3015 N Alexander St, Charlotte, NC 28205","1,836",Sold 07/15/2022,"$771,000",3,2
"3630 N Davidson St #4412, Charlotte, NC 28205","1,104",Sold 07/15/2022,"$459,850",2,2
"3630 N Davidson St #3307, Charlotte, NC 28205","1,452",Sold 07/13/2022,"$600,910",2,3
"516 Herrin Ave, Charlotte, NC 28205","3,168",Sold 07/12/2022,$1.09M,4,4
"529 E 34th St, Charlotte, NC 28205",693,Sold 07/12/2022,"$295,000",Studio,1
"3630 N Davidson St #3306, Charlotte, NC 28205",742,Sold 07/12/2022,"$325,000",1,1
"3630 N Davidson St #4405, Charlotte, NC 28205",750,Sold 07/12/2022,"$311,500",1,1
"3630 N Davidson St #2206, Charlotte, NC 28205",742,Sold 07/12/2022,"$300,580",1,1
"653 Raphael Pl, Charlotte, NC 28205","1,549",Sold 07/11/2022,"$375,000",2,3
"529 E 34th St #306, Charlotte, NC 28205",663,Sold 07/11/2022,"$295,000",1,1
"923 Warren Burgess Ln, Charlotte, NC 28205","1,242",Sold 07/08/2022,"$380,000",2,3
"3419 Tappan Pl, Charlotte, NC 28205","3,207",Sold 07/08/2022,"$695,000",4,3
"3630 N Davidson St #3304, Charlotte, NC 28205",750,Sold 07/08/2022,"$295,895",1,1
"3630 N Davidson St #2212, Charlotte, NC 28205","1,104",Sold 07/08/2022,"$454,470",2,2
"3630 N Davidson St #3311, Charlotte, NC 28205",767,Sold 07/08/2022,"$315,750",1,1
"1029 Pierre Dr, Charlotte, NC 28205","1,472",Sold 07/07/2022,"$460,000",2,3
"3630 N Davidson St #3305, Charlotte, NC 28205",750,Sold 07/07/2022,"$316,330",1,1
"3630 N Davidson St #2204, Charlotte, NC 28205",750,Sold 07/07/2022,"$305,330",1,1
"3630 N Davidson St #2208, Charlotte, NC 28205",767,Sold 07/07/2022,"$289,895",1,1
"3630 N Davidson St #3313, Charlotte, NC 28205",967,Sold 07/07/2022,"$379,015",1,1
"3630 N Davidson St #4404, Charlotte, NC 28205",750,Sold 07/07/2022,"$323,815",1,1
"3630 N Davidson St #4401, Charlotte, NC 28205","1,481",Sold 07/07/2022,"$581,785",2,3
"3123 N Davidson St SUITE 303, Charlotte, NC 28205","1,240",Sold 07/06/2022,"$415,000",2,2
"3630 N Davidson St #2210, Charlotte, NC 28205",731,Sold 07/06/2022,"$273,780",1,1
"3630 N Davidson St #2203, Charlotte, NC 28205",753,Sold 07/06/2022,"$291,935",1,1
"1008 Leigh Ave, Charlotte, NC 28205","1,096",Sold 07/05/2022,"$470,000",3,2
"3630 N Davidson St #3310, Charlotte, NC 28205",731,Sold 07/05/2022,"$288,265",1,1
"3439 Oakwood Ave, Charlotte, NC 28205","1,800",Sold 07/01/2022,"$60,000",3,3
"2229 Electric Ln, Charlotte, NC 28205",--,Sold 06/30/2022,"$505,000",--,--
