Address,Square ft,Sale Date,Price,Beds,Baths
"2319 Selwyn Ave, Charlotte, NC 28207","2,936",Sold 03/15/2023,$2.13M,3,4
"2319 Selwyn Ave, Charlotte, NC 28207","2,924",Sold 03/15/2023,$2.13M,3,3.5
"1220 S Kings Dr, Charlotte, NC 28207","4,729",Sold 03/10/2023,$2.42M,6,6
"2115 Dartmouth Pl, Charlotte, NC 28207","2,232",Sold 03/10/2023,"$940,000",3,3
"603 Queens Rd APT C, Charlotte, NC 28207",858,Sold 03/08/2023,"$305,000",2,2
"2101 Sharon Rd, Charlotte, NC 28207","3,283",Sold 03/07/2023,$1.40M,4,3
"2044 Queens Rd W, Charlotte, NC 28207","3,565",Sold 03/06/2023,$1.70M,3,4
"1953 Lynnwood Dr, Charlotte, NC 28209",740,Sold 03/02/2023,"$369,500",2,1
"207 Dellwood Ave, Charlotte, NC 28209","2,758",Sold 02/28/2023,$1.44M,5,3
"1300 Queens Rd UNIT 209, Charlotte, NC 28207","1,308",Sold 02/27/2023,"$395,000",3,2
"3108 Westfield Rd, Charlotte, NC 28209",916,Sold 02/23/2023,"$380,000",2,1
"2613 Chelsea Dr, Charlotte, NC 28209","2,851",Sold 02/16/2023,$1.40M,3,5
"120 Tranquil Ave, Charlotte, NC 28209","3,581",Sold 02/16/2023,$1.80M,4,5
"2503 Roswell Ave UNIT 402, Charlotte, NC 28209","1,004",Sold 01/31/2023,"$255,000",2,1.5
"615 Hermitage Ct, Charlotte, NC 28207","3,535",Sold 01/30/2023,$1.85M,5,4
"614 Moravian Ln, Charlotte, NC 28207","1,901",Sold 01/26/2023,"$796,000",3,3
"214 Dellwood Ave, Charlotte, NC 28209","1,669",Sold 01/24/2023,"$610,000",3,2
"2144 Hastings Dr, Charlotte, NC 28207","2,125",Sold 01/20/2023,$1.20M,4,2.5
"1016 Queens Rd UNIT B, Charlotte, NC 28207",956,Sold 01/20/2023,"$270,000",1,1
"1012 Queens Rd UNIT C, Charlotte, NC 28207","1,063",Sold 01/18/2023,"$380,000",2,2
"1530 Queens Rd APT 401, Charlotte, NC 28207","1,540",Sold 01/13/2023,"$460,000",2,2
"2115 Lorene Ave #2, Charlotte, NC 28209","2,336",Sold 01/13/2023,$1.14M,3,3.5
"626 Queens Rd UNIT 301, Charlotte, NC 28204","2,149",Sold 01/13/2023,"$795,000",2,3
"2115 Lorene Ave, Charlotte, NC 28209","2,393",Sold 01/13/2023,$1.14M,3,4
"1300 Queens Rd UNIT 402, Charlotte, NC 28207","1,342",Sold 01/12/2023,"$355,000",2,2
"1600 Myers Park Dr, Charlotte, NC 28207","4,547",Sold 01/12/2023,$1.43M,4,4
"2104 Beverly Dr, Charlotte, NC 28207","5,203",Sold 01/12/2023,$2.60M,5,7
"2814 Irby Dr, Charlotte, NC 28209","3,701",Sold 01/06/2023,$1.63M,4,5
"2814 Irby Dr, Charlotte, NC 28209","3,796",Sold 01/06/2023,$1.63M,4,4.5
"2432 Selwyn Ave APT C, Charlotte, NC 28209","1,392",Sold 01/05/2023,"$469,200",3,2
"2106 Pinewood Cres, Charlotte, NC 28211","4,943",Sold 12/20/2022,$1.53M,4,4.5
"2106 Pinewood Cir, Charlotte, NC 28211","4,700",Sold 12/20/2022,$1.53M,5,5
"2918 Hampton Ave, Charlotte, NC 28207","5,090",Sold 12/19/2022,$2.75M,4,4
"2145 Colony Rd, Charlotte, NC 28209","4,331",Sold 12/16/2022,$1.30M,4,4
"2736 Picardy Pl, Charlotte, NC 28209","2,808",Sold 12/16/2022,$1.53M,4,3
"1903 Queens Rd, Charlotte, NC 28207","7,345",Sold 12/15/2022,$6.00M,6,8
"2410 Roswell Ave UNIT 305, Charlotte, NC 28209","2,579",Sold 12/13/2022,$1.50M,3,3
"2232 Sherwood Ave, Charlotte, NC 28207","6,355",Sold 12/02/2022,$4.60M,5,6
"269 Queens Rd, Charlotte, NC 28204","1,718",Sold 12/02/2022,"$300,000",2,2
"1917 Beverly Dr, Charlotte, NC 28207","2,811",Sold 11/30/2022,$1.40M,3,3
"1323 Queens Rd UNIT 425, Charlotte, NC 28207",650,Sold 11/30/2022,"$175,000",1,1
"1650 Myers Park Dr, Charlotte, NC 28207","4,290",Sold 11/29/2022,$1.85M,5,5
"1241 S Kings Dr, Charlotte, NC 28207","3,950",Sold 11/21/2022,$1.75M,4,6
"2149 Norton Rd, Charlotte, NC 28207","2,887",Sold 11/18/2022,"$20,500",4,3
"2801 Sharon Rd, Charlotte, NC 28211","3,530",Sold 11/18/2022,$1.65M,4,5
"2100 Brandon Cir, Charlotte, NC 28211","2,150",Sold 11/17/2022,"$750,000",4,3
"2835 Irby Dr, Charlotte, NC 28209","2,500",Sold 11/16/2022,$1.15M,2,2
"1815 Queens Rd, Charlotte, NC 28207","6,937",Sold 11/15/2022,$2.89M,5,4
"811 Queens Rd APT 2, Charlotte, NC 28207","1,137",Sold 11/14/2022,"$400,000",2,1
"2214 Westminster Pl, Charlotte, NC 28207","2,127",Sold 11/14/2022,"$975,000",3,2
"316 Fieldbrook Pl, Charlotte, NC 28209","1,103",Sold 11/14/2022,"$540,000",3,1
"1944 Queens Rd W, Charlotte, NC 28207","4,167",Sold 11/10/2022,$2.15M,4,5
"2810 Selwyn Ave UNIT 422, Charlotte, NC 28209",770,Sold 11/10/2022,"$345,000",1,1
"930 Ardsley Rd #B3, Charlotte, NC 28207","1,003",Sold 11/09/2022,"$420,000",2,1
"2320 Selwyn Ave, Charlotte, NC 28207","2,003",Sold 11/07/2022,"$870,000",2,3
"2216 Pembroke Ave, Charlotte, NC 28207","2,655",Sold 11/04/2022,$1.72M,4,4
"1194 Queens Rd, Charlotte, NC 28207","2,936",Sold 11/01/2022,$1.91M,4,5
"2701 Sharon Rd, Charlotte, NC 28211","3,242",Sold 10/31/2022,$1.00M,4,3
"2034 Pinewood Cres, Charlotte, NC 28211","4,301",Sold 10/28/2022,$1.93M,5,5
"2034 Pinewood Cir, Charlotte, NC 28211","4,301",Sold 10/28/2022,$1.93M,5,5
"8401 Harris Rd, Charlotte, NC 28211","2,123",Sold 10/28/2022,"$446,000",3,3
"1901 Shoreham Dr, Charlotte, NC 28211","5,395",Sold 10/26/2022,$2.51M,4,6
"1701 Jameston Dr, Charlotte, NC 28209","1,464",Sold 10/25/2022,$1.09M,3,2
"2615 Portland Ave, Charlotte, NC 28207","2,758",Sold 10/25/2022,$1.48M,4,3
"2719 Selwyn Ave APT 10, Charlotte, NC 28209","1,249",Sold 10/21/2022,"$495,000",3,2
"122 Tranquil Ave, Charlotte, NC 28209","3,529",Sold 10/21/2022,$1.82M,4,5
"221 Hillside Ave, Charlotte, NC 28209","4,233",Sold 10/21/2022,$2.13M,4,5
"1610 Queens Rd, Charlotte, NC 28207","1,039",Sold 10/20/2022,"$560,000",1,1
"1610 Queens Rd #4, Charlotte, NC 28209","1,044",Sold 10/20/2022,"$560,000",1,1
"2156 Colony Rd, Charlotte, NC 28209","2,387",Sold 10/20/2022,$1.33M,3,3
"2210 Roswell Ave APT 103, Charlotte, NC 28207","2,762",Sold 10/20/2022,$1.48M,3,3
"2210 Roswell Ave, Charlotte, NC 28207","2,806",Sold 10/20/2022,$1.48M,3,3
"1621 Sterling Rd, Charlotte, NC 28209","5,356",Sold 10/18/2022,$3.33M,5,5
"601 Queens Rd APT D, Charlotte, NC 28207",850,Sold 10/17/2022,"$175,000",2,2
"2611 Forest Dr #2, Charlotte, NC 28211","3,600",Sold 10/14/2022,$1.78M,5,3.5
"2700 Wintergreen Dr, Charlotte, NC 28211","2,079",Sold 10/14/2022,"$890,000",3,2
"1500 Queens Rd #103-A, Charlotte, NC 28207","2,151",Sold 10/14/2022,$1.40M,3,3
"2108 Sherwood Ave, Charlotte, NC 28207","5,858",Sold 10/12/2022,$3.00M,4,5
"901 Harvard Pl, Charlotte, NC 28207","3,818",Sold 10/12/2022,$2.15M,4,3
"2040 Providence Rd, Charlotte, NC 28211","4,346",Sold 10/12/2022,$1.48M,4,6
"2040 Providence Rd #B, Charlotte, NC 28211","4,346",Sold 10/12/2022,$1.48M,4,5
"2222 Selwyn Ave APT 506, Charlotte, NC 28207","1,587",Sold 10/11/2022,"$350,000",2,2
"2834 Chelsea Dr, Charlotte, NC 28209","2,922",Sold 10/11/2022,$1.45M,4,4
"2620 Hampton Ave, Charlotte, NC 28207","3,119",Sold 10/10/2022,$1.55M,4,4
"2021 Hopedale Ave, Charlotte, NC 28207","1,894",Sold 10/04/2022,$3.00M,3,2
"2053 Roswell Ave, Charlotte, NC 28207","4,537",Sold 10/04/2022,$2.20M,6,3.5
"2126 Bucknell Ave, Charlotte, NC 28207","3,976",Sold 10/03/2022,$1.75M,5,5
"2222 Selwyn Ave APT 303, Charlotte, NC 28207","1,625",Sold 09/30/2022,"$425,000",3,2
"2222 Selwyn Ave APT 501, Charlotte, NC 28207","1,559",Sold 09/30/2022,"$425,000",3,2
"2045 Beverly Dr, Charlotte, NC 28207","2,604",Sold 09/30/2022,$1.37M,3,3
"1700 Sterling Rd, Charlotte, NC 28209","3,406",Sold 09/29/2022,$1.71M,4,3
"1120 Chollywood Dr, Charlotte, NC 28211","6,243",Sold 09/29/2022,$1.47M,6,6
"1700 Sterling Rd, Charlotte, NC 28209","3,198",Sold 09/29/2022,$1.71M,4,3
"1633 Beverly Dr, Charlotte, NC 28207","2,488",Sold 09/28/2022,$1.24M,4,2.5
"2650 Hampton Ave, Charlotte, NC 28207","1,938",Sold 09/27/2022,$1.05M,3,3
"2320 Selwyn Ave, Charlotte, NC 28207","2,003",Sold 11/07/2022,"$870,000",2,3
"2216 Pembroke Ave, Charlotte, NC 28207","2,655",Sold 11/04/2022,$1.72M,4,4
"1194 Queens Rd, Charlotte, NC 28207","2,936",Sold 11/01/2022,$1.91M,4,5
"2701 Sharon Rd, Charlotte, NC 28211","3,242",Sold 10/31/2022,$1.00M,4,3
