Address,Square ft,Sale Date,Price,Beds,Baths
"1211 E 35th St, Charlotte, NC 28205","2,154",Sold 03/03/2021,"$775,000",5,4
"824 Charles Ave, Charlotte, NC 28205","2,397",Sold 03/01/2021,"$660,000",4,3
"1127 Leigh Ave, Charlotte, NC 28205","2,009",Sold 02/19/2021,"$468,000",3,2
"800 E 37th St, Charlotte, NC 28205","2,008",Sold 02/11/2021,"$601,127",3,3
"929 E 35th St, Charlotte, NC 28205","3,032",Sold 02/11/2021,"$879,900",4,3
"965 E 36th St, Charlotte, NC 28205",--,Sold 02/02/2021,$4.70M,--,--
"3103 N Myers St, Charlotte, NC 28205","2,484",Sold 01/30/2021,"$565,000",4,3
"811 E 36th St, Charlotte, NC 28205",--,Sold 12/29/2020,"$4,000",--,--
"2908 N Myers St, Charlotte, NC 28205","1,821",Sold 12/22/2020,"$506,000",4,3
"2804 N Myers St, Charlotte, NC 28205","1,760",Sold 12/22/2020,"$505,500",3,3
"1022 Academy St, Charlotte, NC 28205","1,991",Sold 12/18/2020,"$575,000",4,3
"1026 Leigh Ave, Charlotte, NC 28205","1,509",Sold 12/03/2020,"$450,000",3,2
"3601 Oakwood Ave, Charlotte, NC 28205","2,325",Sold 11/30/2020,"$580,000",3,3
"3420 Tappan Pl, Charlotte, NC 28205","1,870",Sold 11/20/2020,"$425,000",3,2.5
"1162 E 36th St UNIT HLT0003, Charlotte, NC 28205",--,Sold 11/20/2020,"$430,833",--,--
"1000 Herrin Ave, Charlotte, NC 28205","2,812",Sold 11/19/2020,"$754,922",5,3
"3516 Spencer St, Charlotte, NC 28205","1,600",Sold 11/18/2020,"$400,000",3,2
"3440 Oakwood Ave, Charlotte, NC 28205","1,012",Sold 11/17/2020,"$350,000",3,1
"3023 N McDowell St, Charlotte, NC 28205","1,331",Sold 11/13/2020,"$355,000",2,1
"3520 Spencer St, Charlotte, NC 28205","1,573",Sold 11/13/2020,"$480,000",3,2
"916 E 36th St, Charlotte, NC 28205","1,205",Sold 11/03/2020,"$365,000",3,1
"815 Drummond Ave, Charlotte, NC 28205","1,076",Sold 10/26/2020,"$415,000",3,2
"506 E 37th St, Charlotte, NC 28205","2,440",Sold 10/23/2020,"$599,900",3,4
"800 Woodside Ave, Charlotte, NC 28205","2,928",Sold 10/22/2020,"$800,000",3,3
"737 Herrin Ave, Charlotte, NC 28205","2,585",Sold 10/16/2020,"$468,000",4,3
"1324 E 35th St, Charlotte, NC 28205","1,291",Sold 10/06/2020,"$292,500",3,2
"3111 Whiting Ave, Charlotte, NC 28205","2,261",Sold 10/06/2020,"$648,000",3,3.5
"3111 Whiting Ave #2, Charlotte, NC 28205","2,304",Sold 10/06/2020,"$647,900",3,4
"1018 Polaris Way, Charlotte, NC 28205","2,300",Sold 10/05/2020,"$635,000",3,3.5
"1018 Polaris Way #8, Charlotte, NC 28205","2,304",Sold 10/05/2020,"$634,570",3,4
"1100 E 34th St, Charlotte, NC 28205",905,Sold 10/02/2020,"$350,000",2,1
"2608 Pinckney Ave, Charlotte, NC 28205","1,200",Sold 09/28/2020,"$435,000",2,2
"1014 Polaris Way, Charlotte, NC 28205","2,258",Sold 09/25/2020,"$615,000",3,3.5
"1014 Polaris Way #9, Charlotte, NC 28205","2,229",Sold 09/25/2020,"$614,900",3,4
"3905 Picasso Ct #3905, Charlotte, NC 28205",--,Sold 09/24/2020,"$275,000",--,--
"716 E 35th St, Charlotte, NC 28205","1,714",Sold 09/23/2020,"$552,000",3,3
